job_title,company_name,job_location,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date
Regional Sales Bandung,Madael Consult (HR Consultant),"Sumur Bandung, Bandung, Jawa Barat",Remote/Dari rumah,Not Written,"experience,logo,English Languange,B2C Sales,Negotiation Skills",https://glints.com/id/opportunities/jobs/regional-sales-bandung/c228f50f-256f-4822-9cc0-ee3a27131493?utm_referrer=explore,c228f50f-256f-4822-9cc0-ee3a27131493,contract,Remote/Dari rumah,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Technical Sales Support,Technical Sales Support,4/3/2024
iOS Developer,PT 360 Teknologi Indonesia,"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Programming Languages,iOS Development,React Native",https://glints.com/id/opportunities/jobs/ios-developer/56783763-bb75-4901-9c8f-833b2fc21647?utm_referrer=explore,56783763-bb75-4901-9c8f-833b2fc21647,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Mobile Development,iOS Developer,4/3/2024
Full-Stack Developer,Pt Quanta Land Indonesia,"Pinang, Tangerang, Banten",Kerja di kantor,Not Written,"experience,logo,React.js,Angular.js,CSS3,Python,HTML5,JavaScript,Node.js,MongoDB,MySQL,PostgreSQL,PHP",https://glints.com/id/opportunities/jobs/full-stack-developer/1c25da2f-8ff0-497d-9b0d-536498ff1a49?utm_referrer=explore,1c25da2f-8ff0-497d-9b0d-536498ff1a49,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Full Stack Development,Full Stack Developer,4/3/2024
QA Tester,Permana Solution,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,"Rp5jt-Rp5,5jt","experience,salary,logo,Quality Assurance,Quality Management,Software Quality Assurance",https://glints.com/id/opportunities/jobs/qa-tester/cd8da426-3f85-41cd-9fb9-941069849d8c?utm_referrer=explore,cd8da426-3f85-41cd-9fb9-941069849d8c,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester,4/3/2024
DWH Developer,Permana Solution,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp7jt-Rp10jt,"experience,salary,logo,Oracle Database,.NET,Microsoft SQL Server",https://glints.com/id/opportunities/jobs/dwh-developer/b59e9604-6e27-427c-8d1f-31e8c10e18f0?utm_referrer=explore,b59e9604-6e27-427c-8d1f-31e8c10e18f0,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Network, System & Database Admin",Data Warehouse Developer,4/3/2024
Data Entry Intern - Paid Internship,Flokq,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,"Rp1,5jt","experience,salary,logo,Google Suite,Teamwork,Microsoft Office,Data Entry",https://glints.com/id/opportunities/jobs/data-entry-intern-paid-internship/9afb2c53-1cce-43dd-aeaa-96ccad628516?utm_referrer=explore,9afb2c53-1cce-43dd-aeaa-96ccad628516,internship,Remote/Dari rumah,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,"Network, System & Database Admin",Database Administrator,4/3/2024
QA Internship,Youtap Indonesia,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Automation Testing,QA Automation,Katalon",https://glints.com/id/opportunities/jobs/qa-internship/0a62c2a4-c952-4700-93dc-ffb967819a98?utm_referrer=explore,0a62c2a4-c952-4700-93dc-ffb967819a98,internship,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Engineer,4/3/2024
IT Officer,PT Rekruter Infinit Cakrawala,"Kelapa Gading, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Information Systems,Computer Science,Information Technology,Website Management,Computer Networking,Computer Hardware",https://glints.com/id/opportunities/jobs/it-officer/265cfa5b-f5b1-4f73-888b-e842e1f411b5?utm_referrer=explore,265cfa5b-f5b1-4f73-888b-e842e1f411b5,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Operations & Technology Professionals,4/3/2024
Platform Tech Support Internship,Legit Group,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,React.js,JavaScript,Java",https://glints.com/id/opportunities/jobs/platform-tech-support-internship/5c6b51ba-eedc-450d-83a8-ca2e58d792d7?utm_referrer=explore,5c6b51ba-eedc-450d-83a8-ca2e58d792d7,internship,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024
Electrician,PT Jayasakti Sukses Mandiri,"Balaraja, Tangerang, Banten",Kerja di kantor,Not Written,"experience,logo,Management Reporting,Corporate Communications,Teamwork,Electricity",https://glints.com/id/opportunities/jobs/electrician/f4f4a1d2-99f3-4cf2-8c0d-a2f13c34244c?utm_referrer=explore,f4f4a1d2-99f3-4cf2-8c0d-a2f13c34244c,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer,4/3/2024
