job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,category,sub_category,role
Project Admin Staff,PT Bawana Margatama,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp5jt-Rp5,5jt",https://glints.com/id/opportunities/jobs/project-admin-staff/4dfc10dc-48a4-4262-9f3c-45f6089e77ef?utm_referrer=explore,4dfc10dc-48a4-4262-9f3c-45f6089e77ef,full_time,Computer & Information Technology,"Network, System & Database Admin",Database Administrator
Junior Programmer,Phiraka Sinergi Indonesia,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/junior-programmer/49ad431c-f0cf-4835-818e-13789a93809c?utm_referrer=explore,49ad431c-f0cf-4835-818e-13789a93809c,full_time,Computer & Information Technology,Software,Programmer
App Programmer,PT. AZlogistik Dot Com,"Tegalsari, Surabaya, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/app-programmer/5071bfc9-fbbe-4aae-8961-f1afdb2ada4f?utm_referrer=explore,5071bfc9-fbbe-4aae-8961-f1afdb2ada4f,full_time,Computer & Information Technology,Software,Computer Programmer
Junior Backend Developer,PT. Periksa Solusi Indonesia,"Tebet, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/junior-backend-developer/fb655444-6f69-4b05-934c-c02f06cbad31?utm_referrer=explore,fb655444-6f69-4b05-934c-c02f06cbad31,contract,Computer & Information Technology,Backend Development,Backend Developer
Data Analyst Lead,Vokraf,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/data-analyst-lead/64df3edb-8292-4643-b834-3b6de0cc68ac?utm_referrer=explore,64df3edb-8292-4643-b834-3b6de0cc68ac,full_time,Computer & Information Technology,Data,Data Analyst
Teknisi Listrik,PT Holicindo Dasa Anugerah,"Cimahi Selatan, Cimahi, Jawa Barat",Kerja di kantor,"Rp2,3jt-Rp3jt",https://glints.com/id/opportunities/jobs/teknisi-listrik/e4b5d80e-1a17-4447-af00-5c2c618f7dc5?utm_referrer=explore,e4b5d80e-1a17-4447-af00-5c2c618f7dc5,full_time,Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer
Blockchain Developer,PT Langgeng Inovasi Teknologi (Langit),"Buahbatu, Bandung, Jawa Barat",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/blockchain-developer/e00e8979-9a88-43d5-8729-d74dbf6951b3?utm_referrer=explore,e00e8979-9a88-43d5-8729-d74dbf6951b3,full_time,Computer & Information Technology,Artificial Intelligence,AI Engineer
Lead QA Automation (Startup Background - For Client),Coding.id,"Grogol Petamburan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/lead-qa-automation-startup-background-for-client/4ea4520b-2883-4a4b-8e3e-1a6ded64ccf9?utm_referrer=explore,4ea4520b-2883-4a4b-8e3e-1a6ded64ccf9,full_time,Computer & Information Technology,QA & Software Testing,QA Tester
Network Engineer,PT Aneka Rekakomindo Kencana,"Bekasi Selatan, Bekasi, Jawa Barat",Kerja di kantor,Rp4jt-Rp7jt,https://glints.com/id/opportunities/jobs/network-engineer/16070db7-0cb1-4e37-80d1-3273b7ec6eed?utm_referrer=explore,16070db7-0cb1-4e37-80d1-3273b7ec6eed,full_time,Computer & Information Technology,"Network, System & Database Admin",Network Engineer
Drafter Elektronik,PT Aneka Rekakomindo Kencana,"Bekasi Selatan, Bekasi, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/drafter-elektronik/694f6db7-9d65-41a5-9ae7-de3f2928306e?utm_referrer=explore,694f6db7-9d65-41a5-9ae7-de3f2928306e,full_time,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Software Tester,Pt Carlcare Service Ila,"Pal Merah, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/software-tester/f22c9752-9b69-4296-89a6-8c9234e09100?utm_referrer=explore,f22c9752-9b69-4296-89a6-8c9234e09100,full_time,Computer & Information Technology,Software,Software Engineer
React Developer (Middle),PT Quadra Karya Santosa,"Kemayoran, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/react-developer-middle/d760761f-51d5-4367-b21b-880b9701ba3c?utm_referrer=explore,d760761f-51d5-4367-b21b-880b9701ba3c,full_time,Computer & Information Technology,Software,Programmer
Customer Service & Technical Support Staff,PT ADIDAYA RISET INSTRUMEN INDONESIA,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/customer-service-and-technical-support-staff/3a7c1255-34b1-46c8-94c6-f77c33ad9734?utm_referrer=explore,3a7c1255-34b1-46c8-94c6-f77c33ad9734,full_time,Computer & Information Technology,Other Computer & Information Technology,Other Technical Positions
