job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role
Frontend Development,PT Berkah Digital Asia,"Buduran, Sidoarjo, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/frontend-development/67311584-8c34-4f3e-b219-cf0f6bd8ac35?utm_referrer=explore,67311584-8c34-4f3e-b219-cf0f6bd8ac35,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Web Developer
IT Support,PPPSRS Apartemen Casablanca East Residences,"Duren Sawit, Jakarta Timur, DKI Jakarta",Kerja di kantor,"Rp3,5jt-Rp4jt",https://glints.com/id/opportunities/jobs/it-support/ebec52d5-3730-4996-b271-a2c9c854c509?utm_referrer=explore,ebec52d5-3730-4996-b271-a2c9c854c509,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
Teknisi,SSI (Service Iphone) Surabaya,"Waru, Sidoarjo, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi/019511de-23ee-44f8-98b9-459cf23be068?utm_referrer=explore,019511de-23ee-44f8-98b9-459cf23be068,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Software Developer (Kotlin),Indonesia Global Solusindo,"Grogol Petamburan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/software-developer-kotlin/90bd8975-e534-4e25-b5f1-7b1410787bc1?utm_referrer=explore,90bd8975-e534-4e25-b5f1-7b1410787bc1,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Developer
Backend Web Developer,PT QLCOM Solusi Bisnis,"Rungkut, Surabaya, Jawa Timur",Kerja di kantor,"Rp4,5jt",https://glints.com/id/opportunities/jobs/backend-web-developer/6fc9beef-09f0-43bb-90f7-c561beb1070c?utm_referrer=explore,6fc9beef-09f0-43bb-90f7-c561beb1070c,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Backend Development,Backend Developer
Staff Engineer,PT Sutrakabel Intimandiri,"Sukajaya, Bogor, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-engineer/80c9b3dc-b6a6-4c3e-b667-e379169bb472?utm_referrer=explore,80c9b3dc-b6a6-4c3e-b667-e379169bb472,full_time,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Staff Engineer
Backend Developer,XCIDIC,"Kembangan, Jakarta Barat, DKI Jakarta",Remote/Dari rumah,Rp6jt-Rp12jt,https://glints.com/id/opportunities/jobs/backend-developer/9732bd94-a636-464a-834d-8dfaaefc1a3d?utm_referrer=explore,9732bd94-a636-464a-834d-8dfaaefc1a3d,full_time,Remote/Dari rumah,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Developer
Game Programmer Intern,Memento Game Studio,"Pal Merah, Jakarta Barat, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/game-programmer-intern/d18882f9-2920-4ca6-9999-787cb33eeb90?utm_referrer=explore,d18882f9-2920-4ca6-9999-787cb33eeb90,internship,Remote/Dari rumah,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Other Computer & Information Technology,Game Developer
IT Application Operations Engineer,PT.Ketrosden Triasmitra,"Jatinegara, Jakarta Timur, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-application-operations-engineer/d4d1f205-3314-4e85-9714-0983a6f0fcb6?utm_referrer=explore,d4d1f205-3314-4e85-9714-0983a6f0fcb6,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Python Programmer,PT DIGI TEKNO INDONUSA,"Kapanewon Ngaglik, Sleman, DI Yogyakarta",Kerja di kantor,Rp3jt-Rp6jt,https://glints.com/id/opportunities/jobs/python-programmer/60659b08-cbd5-4ea0-865a-6dfdae444d5c?utm_referrer=explore,60659b08-cbd5-4ea0-865a-6dfdae444d5c,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
