,job_title,company_name,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date,district,city,province
322,Full Stack Developer,Kecilin,Kerja di kantor,Rp5jt-Rp10jt,"JavaScript,Web Analytics,Angular.js,Vue.js,React.js,Programming Languages,Back-End Web Development,Frontend Development,HTML5,CSS3",https://glints.com/id/opportunities/jobs/full-stack-developer/bb1c7b86-ab4c-43fb-bb84-c5d64585da49?utm_referrer=explore,bb1c7b86-ab4c-43fb-bb84-c5d64585da49,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Full Stack Engineer,2024-04-29,Tanah Abang, Jakarta Pusat, DKI Jakarta
323,WordPress Developer Internship,PT Boogie Apparel Indonesia,Kerja di kantor,"Rp800rb-Rp1,5jt","WordPress Development,Attention to Detail,Communication Skills",https://glints.com/id/opportunities/jobs/wordpress-developer-internship/83608dfc-1b54-456f-9669-77b8e616ea88?utm_referrer=explore,83608dfc-1b54-456f-9669-77b8e616ea88,internship,onsite,<1,Sarjana,Others,Others,Others,2024-04-29,Bogor Barat, Bogor, Jawa Barat
324,Fullstack (Java) Developer,FlexiDev Indonesia,Remote/Dari rumah,Rp8jt-Rp15jt,"Java,English Languange,Vue.js,JavaScript,NoSQL,SQL,Spring Framework",https://glints.com/id/opportunities/jobs/fullstack-java-developer/770962a4-1739-425e-9f18-3d0ebeb0fd68?utm_referrer=explore,770962a4-1739-425e-9f18-3d0ebeb0fd68,full_time,remote,3-5,Sarjana,Computer & Information Technology,Software,Software Developer,2024-04-29,Babakan Ciparay, Bandung, Jawa Barat
325,Senior Fullstack Developer,PT. Aigen Global Teknologi,Kerja di kantor,Rp20jt-Rp30jt,"Frontend Development,Software Development,Back-End Web Development",https://glints.com/id/opportunities/jobs/senior-fullstack-developer/bd4f6ef1-97cf-49fe-8535-4c9eca530063?utm_referrer=explore,bd4f6ef1-97cf-49fe-8535-4c9eca530063,full_time,onsite,5-10,Sarjana,Computer & Information Technology,Software,Full Stack Engineer,2024-04-29,Tanah Abang, Jakarta Pusat, DKI Jakarta
326,Power BI Developer,Kreasi Dua Konsep (2Konzept),Kerja di kantor,Rp5jt-Rp9jt,"SQL,Cloud Computing,Power BI",https://glints.com/id/opportunities/jobs/power-bi-developer/37126265-8664-4499-8e59-a52a1d4ba901?utm_referrer=explore,37126265-8664-4499-8e59-a52a1d4ba901,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Developer,2024-04-29,Cilandak, Jakarta Selatan, DKI Jakarta
327,Backend stack dan Frontend stack,Inotal Sistema International,Kerja di kantor,-,"Mercure,Php Symfony,TailwindCSS,Vite,Php Swoole,React.js,PHP",https://glints.com/id/opportunities/jobs/backend-stack-dan-frontend-stack/e23625fd-527a-4963-be6f-72b1d182d40a?utm_referrer=explore,e23625fd-527a-4963-be6f-72b1d182d40a,contract,onsite,3-5,Diploma,Computer & Information Technology,Software,Programmer,2024-04-29,Gambir, Jakarta Pusat, DKI Jakarta
328,Python/PHP Developer,GlobalTix Pte Ltd,Kerja di kantor,-,"MySQL,Python,PHP",https://glints.com/id/opportunities/jobs/python-php-developer/0b53bb9e-9951-473f-ac23-6b48014d5e9a?utm_referrer=explore,0b53bb9e-9951-473f-ac23-6b48014d5e9a,full_time,onsite,1-3,Diploma,Computer & Information Technology,Software,Software Developer,2024-04-29,Cisauk, Tangerang, Banten
329,Backend Developer .NET,Id/x Partners,Kerja di kantor,-,"C++,Spring Framework,.NET,Agile Methodologies,Java,GIT",https://glints.com/id/opportunities/jobs/backend-developer-net/2c9fc9f8-b7ce-409a-9cec-8a1d6c8b9d20?utm_referrer=explore,2c9fc9f8-b7ce-409a-9cec-8a1d6c8b9d20,full_time,onsite,3-5,Sarjana,Computer & Information Technology,Backend Development,Backend Developer,2024-04-29,Tanah Abang, Jakarta Pusat, DKI Jakarta
330,Back End Developer (Java Springboot),Pt. Swadharma Duta Data,Kerja di kantor,Rp8jt-Rp12jt,"Microservices Architecture,Java,Spring Framework",https://glints.com/id/opportunities/jobs/back-end-developer-java-springboot/52c86595-71bd-44af-8e97-d3d5c7d8a22a?utm_referrer=explore,52c86595-71bd-44af-8e97-d3d5c7d8a22a,contract,onsite,1-3,Sarjana,Computer & Information Technology,Software,Programmer,2024-04-29,Tanah Abang, Jakarta Pusat, DKI Jakarta
331,Node JS – Back end Developer,PT Code Development Indonesia,Kerja di kantor,-,"REST API,Node.js,JavaScript",https://glints.com/id/opportunities/jobs/node-js-back-end-developer/81532921-1b11-4d94-b660-c603265a1f56?utm_referrer=explore,81532921-1b11-4d94-b660-c603265a1f56,full_time,onsite,3-5,Sarjana,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff,2024-04-29,Setiabudi, Jakarta Selatan, DKI Jakarta
332,Fullstack Developer Node JS,Razs Tech,Kerja di kantor,-,"RabbitMQ,React Native,Teamwork,MySQL,Communication Skills",https://glints.com/id/opportunities/jobs/fullstack-developer-node-js/a7b785ca-5730-4ffd-971d-75cb0bd9c765?utm_referrer=explore,a7b785ca-5730-4ffd-971d-75cb0bd9c765,full_time,onsite,1-3,Diploma,Computer & Information Technology,Software,Developer,2024-04-29,Cipayung, Jakarta Timur, DKI Jakarta
333,Mobile Developer Application Supervisor,PT Sushi Tei Group,Kerja di kantor,-,logo,https://glints.com/id/opportunities/jobs/mobile-developer-application-supervisor/bc7940bf-1c53-4f2e-8178-d8de22e69a4a?utm_referrer=explore,bc7940bf-1c53-4f2e-8178-d8de22e69a4a,contract,onsite,1-3,Sarjana,Computer & Information Technology,Mobile Development,Mobile Developer,2024-04-29,Kebayoran Baru, Jakarta Selatan, DKI Jakarta
334,Fullstack Developer (PHP & Flutter),PT Pro Sigmaka Mandiri,Kerja di kantor,-,"Laravel,PHP,Flutter",https://glints.com/id/opportunities/jobs/fullstack-developer-php-and-flutter/fbae307f-8be8-448d-b63c-8631eb9f8e23?utm_referrer=explore,fbae307f-8be8-448d-b63c-8631eb9f8e23,contract,onsite,1-3,Sarjana,Computer & Information Technology,Software,Software Engineer,2024-04-29,Mampang Prapatan, Jakarta Selatan, DKI Jakarta
335,Backend Developer (PHP Laravel),PT Niaga Expert Teknologi,Kerja di kantor,-,"PHP,Backend,Laravel",https://glints.com/id/opportunities/jobs/backend-developer-php-laravel/a18ad773-cf9d-4cf9-b127-1e2fed3e6887?utm_referrer=explore,a18ad773-cf9d-4cf9-b127-1e2fed3e6887,contract,onsite,1-3,Sarjana,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff,2024-04-29,Karawaci, Tangerang, Banten
336,IT  Developer In-House,PT Varnion Technology Semesta,Kerja di kantor,-,"HTML5,SQL,GIT,PHP,CSS3,Laravel",https://glints.com/id/opportunities/jobs/it-developer-in-house/089e224c-8f54-40f3-9516-1480fd3408d0?utm_referrer=explore,089e224c-8f54-40f3-9516-1480fd3408d0,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Programmer,2024-04-29,Kebayoran Lama, Jakarta Selatan, DKI Jakarta
337,Fullstack Web-App Developer,Etera Trade,Kerja di kantor,Rp5jt-Rp7jt,"Web Development,Software Development,Application Development",https://glints.com/id/opportunities/jobs/fullstack-web-app-developer/24884647-c96f-43df-9bdd-4aec50eb296b?utm_referrer=explore,24884647-c96f-43df-9bdd-4aec50eb296b,full_time,onsite,1-3,SMA/SMK,Computer & Information Technology,Software,Software Developer,2024-04-29,Penjaringan, Jakarta Utara, DKI Jakarta
338,Software Developer Odoo (Fullstack),Papandayan Cargo,Kerja di kantor,Rp7jt-Rp10jt,"Software Architecture,Python,Software Development",https://glints.com/id/opportunities/jobs/software-developer-odoo-fullstack/8b0e1be4-f9f9-4d23-adee-2537834504e2?utm_referrer=explore,8b0e1be4-f9f9-4d23-adee-2537834504e2,full_time,onsite,3-5,Sarjana,Computer & Information Technology,Software,Software Developer,2024-04-29,Duren Sawit, Jakarta Timur, DKI Jakarta
339,Mobile Developer (Apple/IOS),PT Adinata Mitra Solusi,Kerja di kantor,Rp8jt-Rp14jt,"React Native,Kotlin,Swift",https://glints.com/id/opportunities/jobs/mobile-developer-apple-ios/be3081fd-96cc-4b9a-a67b-4c071e7a2b62?utm_referrer=explore,be3081fd-96cc-4b9a-a67b-4c071e7a2b62,full_time,onsite,1-3,Diploma,Computer & Information Technology,Mobile Development,Mobile Developer,2024-04-29,Kebayoran Lama, Jakarta Selatan, DKI Jakarta
340,React Native Developer (iOS),MadeIndonesia,Kerja di kantor,-,"React Native,JSON,Redux,iOS Development",https://glints.com/id/opportunities/jobs/react-native-developer-ios/f9852cd4-88bb-4108-b5b2-331e59f7cdee?utm_referrer=explore,f9852cd4-88bb-4108-b5b2-331e59f7cdee,full_time,onsite,1-3,SMA/SMK,Computer & Information Technology,Mobile Development,iOS Developer,2024-04-29,Kapanewon Ngaglik, Sleman, DI Yogyakarta
341,Full Stack Web Developer,Katsudoto,Kerja di kantor,-,"PHP,Critical Thinking,JavaScript",https://glints.com/id/opportunities/jobs/full-stack-web-developer/e79fc90c-92df-48cb-b115-0c3d078f6ab2?utm_referrer=explore,e79fc90c-92df-48cb-b115-0c3d078f6ab2,contract,onsite,1-3,Diploma,Computer & Information Technology,Software,Software Engineer,2024-04-29,Medan Sunggal, Medan, Sumatera Utara
342,Full Stack Web Developer,Arthatronic Studio,Kerja di kantor,Rp3jt-Rp6jt,"React.js,PHP,TypeScript,SQL,HTML5,Vue.js,JavaScript,Node.js,Amazon Web Services (AWS),Laravel,CSS3",https://glints.com/id/opportunities/jobs/full-stack-web-developer/ff003d57-0d02-4ed3-a0e8-76e70fde6180?utm_referrer=explore,ff003d57-0d02-4ed3-a0e8-76e70fde6180,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Web Developer,2024-04-29,Antapani, Bandung, Jawa Barat
