,job_title,company_name,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,sub_category,role,scrapped_date,district,city,province
27,Power Business Intelligence,PT Adinata Mitra Solusi,Rp8jt-Rp19jt,"Cash Flow Management,Microsoft SQL Server,Business Intelligence",https://glints.com/id/opportunities/jobs/power-business-intelligence/2d1bf35f-6854-4cc9-b4bd-030f69916880?utm_referrer=explore,2d1bf35f-6854-4cc9-b4bd-030f69916880,full_time,onsite,1-3,Diploma,Data,Business Intelligence Analyst,4/3/2024,Kebayoran Lama, Jakarta Selatan, DKI Jakarta
28,Backend Developer,PT ELISTEC INFORMATIKA UTAMA,Rp7jt-Rp10jt,"Microsoft SQL Server,.NET,GIT,ASP.NET,.Net Core",https://glints.com/id/opportunities/jobs/backend-developer/3169b2ec-6a58-4ae0-bc2d-9e7d74de437c?utm_referrer=explore,3169b2ec-6a58-4ae0-bc2d-9e7d74de437c,full_time,onsite,3-5,Sarjana,Backend Development,Backend Developer,4/3/2024,Mampang Prapatan, Jakarta Selatan, DKI Jakarta
29,Desktop Application Developer,Sagara Technology,-,"Java,Object-Oriented Programming (OOP),VB.NET,Responsive Web Design,.NET,Software Engineering",https://glints.com/id/opportunities/jobs/desktop-application-developer/335dcc76-84c6-4537-9d34-d2930456f074?utm_referrer=explore,335dcc76-84c6-4537-9d34-d2930456f074,full_time,onsite,3-5,Sarjana,Software,Software Engineer,4/3/2024,Grogol Petamburan, Jakarta Barat, DKI Jakarta
30,Staff IT,PT Surya Sinergi,-,"Troubleshooting,Hardware Engineering,Software Engineering",https://glints.com/id/opportunities/jobs/staff-it/252e8d86-4cd4-4d10-a8d3-6884820d3452?utm_referrer=explore,252e8d86-4cd4-4d10-a8d3-6884820d3452,full_time,onsite,3-5,Sarjana,Other Computer & Information Technology,Information Technology Staff,4/3/2024,Driyorejo, Gresik, Jawa Timur
31,Junior Full Stack Engineer,Fleetify.id,-,"REST API,React.js,SDLC",https://glints.com/id/opportunities/jobs/junior-full-stack-engineer/84d18abf-5d46-4081-af1a-b7053c539355?utm_referrer=explore,84d18abf-5d46-4081-af1a-b7053c539355,full_time,onsite,1-3,Sarjana,Full Stack Development,Full Stack Engineer,4/3/2024,Serpong Utara, Tangerang Selatan, Banten
32,Quality Assurance (QA) Engineer,Fleetify.id,-,"QA Automation,Software Testing,Manual Testing",https://glints.com/id/opportunities/jobs/quality-assurance-qa-engineer/91733301-5fb0-47c9-b885-b7444871888f?utm_referrer=explore,91733301-5fb0-47c9-b885-b7444871888f,full_time,onsite,1-3,Sarjana,QA & Software Testing,QA Engineer,4/3/2024,Serpong Utara, Tangerang Selatan, Banten
33,Backend Developer,Hipros,-,"Pengembangan Aplikasi Mobile,Pengembangan Aplikasi,Pengembangan Web",https://glints.com/id/opportunities/jobs/backend-developer/5b188a74-068b-4be8-a979-b80badcc9f5c?utm_referrer=explore,5b188a74-068b-4be8-a979-b80badcc9f5c,full_time,onsite,<1,SMA/SMK,Backend Development,Backend Developer,4/3/2024,Cakung, Jakarta Timur, DKI Jakarta
34,IT Implementor,Pt. Tiga Daya Digital Indonesia,-,"ERP Software,Communication Skills,Project Coordination",https://glints.com/id/opportunities/jobs/it-implementor/221e6c76-fc66-4dc6-b707-1aacb532188b?utm_referrer=explore,221e6c76-fc66-4dc6-b707-1aacb532188b,full_time,onsite,1-3,Sarjana,Other Computer & Information Technology,Information Technology Staff,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
35,Golang Developer,PT Code Development Indonesia,-,"Node.js,Java,.NET",https://glints.com/id/opportunities/jobs/golang-developer/f54b7767-ac42-45d9-ad9a-0bc5c6f299de?utm_referrer=explore,f54b7767-ac42-45d9-ad9a-0bc5c6f299de,full_time,onsite,1-3,Sarjana,Backend Development,Golang Developer,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
36,Android Native Developer,PT Indocyber Global Teknologi,-,"PHP,Android Java,Codeigniter",https://glints.com/id/opportunities/jobs/android-native-developer/c295176c-5d59-4dd5-8449-6d7e568f1179?utm_referrer=explore,c295176c-5d59-4dd5-8449-6d7e568f1179,full_time,onsite,5-10,Diploma,Mobile Development,Android Developer,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
37,Data Scientist,TwoDotSeven Pte Ltd,Rp15jt-Rp20jt,"Python,Statistical Data Analysis,Machine Learning,SQL",https://glints.com/id/opportunities/jobs/data-scientist/a65014ea-c7b3-403f-a163-58d4e52e2b2f?utm_referrer=explore,a65014ea-c7b3-403f-a163-58d4e52e2b2f,full_time,remote,3-5,Sarjana,Data,Data Scientist,4/3/2024,Cipayung, Jakarta Timur, DKI Jakarta
38,Network Engineer (Internship),PT Visionary Solution Teknologi (Visi-Tek),-,"Networking,Network Administration,Software Engineering,FTTX Networks",https://glints.com/id/opportunities/jobs/network-engineer-internship/1eeb9410-fb52-4f44-b7e7-064578b8fc17?utm_referrer=explore,1eeb9410-fb52-4f44-b7e7-064578b8fc17,internship,onsite,<1,SMA/SMK,"Network, System & Database Admin",Network Engineer,4/3/2024,Cilandak, Jakarta Selatan, DKI Jakarta
