job_title,company_name,job_location,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date
Frontend Developer (React Native),OCTA Infinite Solutions,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Redux,JavaScript,React Native",https://glints.com/id/opportunities/jobs/frontend-developer-react-native/f979017e-6977-4729-b6f3-8fa458007d36?utm_referrer=explore,f979017e-6977-4729-b6f3-8fa458007d36,contract,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Senior Frontend & Backend Engineer,Orbit Future Academy,"Setiabudi, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,Software Engineering,Software Development,Website Management",https://glints.com/id/opportunities/jobs/senior-frontend-and-backend-engineer/c8fc1ec8-21e7-4141-a086-4625b4442677?utm_referrer=explore,c8fc1ec8-21e7-4141-a086-4625b4442677,part_time,Remote/Dari rumah,5 – 10 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer,2024-04-26
Frontend Engineer (Vue / Cypress),Pt Bionic Teknologi Indonesia,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Front End,Cypress,Vue.js",https://glints.com/id/opportunities/jobs/frontend-engineer-vue-cypress/3bf27053-c9cd-4f1d-a171-c4f30db3fdef?utm_referrer=explore,3bf27053-c9cd-4f1d-a171-c4f30db3fdef,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
React Js Frontend Developer,Geekgarden,"Jagakarsa, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,TypeScript,React.js,JavaScript,Java,CSS3",https://glints.com/id/opportunities/jobs/react-js-frontend-developer/fbe08403-bef9-447c-b172-96749c75836e?utm_referrer=explore,fbe08403-bef9-447c-b172-96749c75836e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Developer,2024-04-26
Senior Web Frontend Engineer,PT Diraya Mahala Adhikari,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Rp13jt-Rp35jt,"experience,salary,logo,React.js,HTML5,CSS3,JavaScript,Webpack,Debugging Tools,Npm,Node.js",https://glints.com/id/opportunities/jobs/senior-web-frontend-engineer/ed192496-a218-41a7-9466-434a8f9b7bfa?utm_referrer=explore,ed192496-a218-41a7-9466-434a8f9b7bfa,part_time,Remote/Dari rumah,5 – 10 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
IT Frontend & Backend Developer,PT Lobunta Kencana Raya,"Sawah Besar, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Search Engine Optimization (SEO),JavaScript,Web Development",https://glints.com/id/opportunities/jobs/it-frontend-and-backend-developer/92139ff9-a5bc-49aa-a319-398def61398d?utm_referrer=explore,92139ff9-a5bc-49aa-a319-398def61398d,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Web Developer,2024-04-26
Frontend Developer - Vue Js,Mumtaz Teknologi Indonesia,"Kramatjati, Jakarta Timur, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,TypeScript,TailwindCSS,Bootstrap,JavaScript,Attention to Detail,Vue.js,Nuxt.js",https://glints.com/id/opportunities/jobs/frontend-developer-vue-js/4694a7c5-c82d-4e66-9b4f-6282172c66f4?utm_referrer=explore,4694a7c5-c82d-4e66-9b4f-6282172c66f4,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Developer,2024-04-26
Frontend Developer (Project Based),Vodjo,"Cibeunying Kidul, Bandung, Jawa Barat",Remote/Dari rumah,Rp5jt,"experience,salary,logo,React.js,React Native,Vue.js",https://glints.com/id/opportunities/jobs/frontend-developer-project-based/91a2615e-5326-4040-9d02-09cf0c710fbe?utm_referrer=explore,91a2615e-5326-4040-9d02-09cf0c710fbe,contract,Remote/Dari rumah,3 – 5 tahun,Minimal SMA/SMK,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Fronted Developer,Pt. Quantus Telematika Indonesia,"Coblong, Bandung, Jawa Barat",Kerja di kantor,Not Written,"experience,logo,JavaScript,CSS3,React.js,GIT,Vue.js,React Native,HTML5",https://glints.com/id/opportunities/jobs/fronted-developer/abe705b4-9be4-4d0b-a958-fd8f2d0e379e?utm_referrer=explore,abe705b4-9be4-4d0b-a958-fd8f2d0e379e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Mobile Development,Mobile Developer,2024-04-26
Frontend Engineer (ReactJs / React Native),PT Pelita Anugerah Perkasa,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp10jt-Rp14jt,"experience,salary,logo,HTML5,CSS3,React Native,Frontend Development,JavaScript,React.js,Vue.js",https://glints.com/id/opportunities/jobs/frontend-engineer-reactjs-react-native/b585d17e-5e93-4dee-a30a-9e9b097051e9?utm_referrer=explore,b585d17e-5e93-4dee-a30a-9e9b097051e9,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
